id,s_fs_lev,level_description,s_fs_name_v
6884,4.0,certificate iv,Certificate IV in dance
6885,8.0,bachelor,Bachelor of Early Childhood Education (Birth to 5 years)
6886,3.0,certificate iii,Cert III Early Childhood Education and Care
6887,4.0,certificate iv,Certificate 4 in disability
6888,8.0,bachelor,Bachelor of Biomedical Science
6889,6.0,diploma,Diploma of digital and interactive games
6890,3.0,certificate iii,Cert III Auslan
6891,3.0,certificate iii,cake and pastry
6892,4.0,certificate iv,cake and pastry
6893,5.0,vce or vcal,VCE Units 3 + 4 (Year 12)
6894,3.0,certificate iii,Cart II Carpentry
6895,6.0,diploma,Diploma of Community Services
6896,10.0,,To continued my buseniss course
6897,6.0,diploma,Diploma of Jewellery and Object Design
6898,7.0,advanced diploma,Advanced diploma of justice
6899,8.0,bachelor,Bachelor Education (Early Years)
6900,3.0,certificate iii,Very 3 science
6901,3.0,certificate iii,Upholstery
6902,5.0,vce or vcal,Automotive
6903,6.0,diploma,diploma in children s education and care
6904,4.0,certificate iv,Building and construction
6905,8.0,bachelor,Bachelor of Entertainment Management
6906,3.0,certificate iii,Cert3 in plumbing
6907,5.0,vce or vcal,Vce 3+4 units
6908,6.0,diploma,Animation
6909,8.0,bachelor,Bachelor of accounting
6910,4.0,certificate iv,Education support
6911,4.0,certificate iv,Mig welding
6912,4.0,certificate iv,Bookkeeping
6913,4.0,certificate iv,General mechanics
6914,7.0,advanced diploma,Computer system technology
6915,5.0,vce or vcal,Certificate III in Warehousing Operations
6916,3.0,certificate iii,Redoing my Cert3 in Indiv8dual support.
6917,8.0,bachelor,Computer Science
6918,8.0,bachelor,Bachelor of Business (Marketing)
6919,6.0,diploma,Diploma building construction cpc50210
6920,9.0,higher than a degree,CPA
6921,8.0,bachelor,Bachelor of Animation
6922,6.0,diploma,Diploma of early childhood education and care
6923,8.0,bachelor,Bechlor of nursing
6924,6.0,diploma,Early Childhood Education and Care
6925,3.0,certificate iii,Early childhood education and care very 3
6926,4.0,certificate iv,Cert 4 in visual arts
6927,8.0,bachelor,Bachelor of Psychological Science
6928,9.0,higher than a degree,Bachelor in Nursing
6929,3.0,certificate iii,Certificate III in patisserie
6930,8.0,bachelor,Bachelor of human services.
6931,6.0,diploma,Diploma  in lean leadership.
6932,10.0,,Introduction to accounting
6933,4.0,certificate iv,Veterinary Nursing
6934,6.0,diploma,Sorry same course 2nd year
6935,8.0,bachelor,Bachelor of Psychological Science
6936,8.0,bachelor,Bachelor of nursing
6937,1.0,certificate i,Course in ESL
6938,8.0,bachelor,Bachelor of Social Science/Criminology Major
6939,7.0,advanced diploma,Advanced Diploma of Interpreting
6940,4.0,certificate iv,Certificate IV in Interactive Digital Games
6941,6.0,diploma,Diploma of accounting
6942,2.0,certificate ii,English class
6943,4.0,certificate iv,Certificate 4 in Disability
6944,2.0,certificate ii,Mechanical engineering light metal fabrications
6945,4.0,certificate iv,Certificate IV in TAE
6946,3.0,certificate iii,Certificate 3 in Commercial Diesel
6947,4.0,certificate iv,in commercial cookery
6948,7.0,advanced diploma,Advanced diploma of visual arts
6949,3.0,certificate iii,Certificate III in EAL
6950,3.0,certificate iii,Automotive Body Repair
6951,5.0,vce or vcal,Vocal senior
6952,3.0,certificate iii,CERTIFICATE III IN AUTOMOTIVE ELECTRICAL TECHNOLOGY
6953,6.0,diploma,Tertiary Preparation Program
6954,6.0,diploma,Diploma of Justice
6955,3.0,certificate iii,Personal training
6956,8.0,bachelor,Bachelor in Early Childhood Education
6957,7.0,advanced diploma,Advance Diploma of Computer System Engineering
6958,7.0,advanced diploma,Advanced diploma of jewellery and object design
6959,4.0,certificate iv,Disability
6960,8.0,bachelor,Bachelor of crimonology and criminal justice
6961,6.0,diploma,Diploma of community service
6962,1.0,certificate i,Transition to employment
6963,4.0,certificate iv,Cert IV in Tertiary Operation
6964,10.0,,IELTS
6965,6.0,diploma,Diploma of Screen and Media
6966,4.0,certificate iv,Education support
6967,6.0,diploma,Diploma of nursing
6968,4.0,certificate iv,Disability and ageing support
6969,3.0,certificate iii,Dental assistant
6970,3.0,certificate iii,Conservation and Land Management
6971,7.0,advanced diploma,Advanced Diploma of Computer Systems Engineering
6972,4.0,certificate iv,Allied health assistant (physiotherapist)
6973,6.0,diploma,Diploma of Youth work
6974,8.0,bachelor,Media & Communications
6975,6.0,diploma,Diploma of IT
6976,3.0,certificate iii,commercial cookery
6977,6.0,diploma,Diploma of Quality Auditing.
6978,2.0,certificate ii,Certificate 3  Bodyguard with batons cuffs firearms
6979,8.0,bachelor,Media and communication
6980,7.0,advanced diploma,Advanced Diploma of Music Industry (Performance)
6981,2.0,certificate ii,Hospitality
6982,4.0,certificate iv,Building and construction
6983,10.0,,Foundations of Mathematics (technically not a course).
6984,4.0,certificate iv,Cert 4 veterinary nursing
6985,6.0,diploma,Diploma of nursing
6986,4.0,certificate iv,Certificate 4 in Small Business
6987,6.0,diploma,Photo
6988,4.0,certificate iv,Community service second year
6989,3.0,certificate iii,Certificate 3 hairdressing
6990,8.0,bachelor,Bachelor Applied Science (Construction Management)
6991,6.0,diploma,Diploma of Nursing
6992,6.0,diploma,Not stating
6993,3.0,certificate iii,Certificate III in Air-conditioning and Refrigeration @ Boxhill Institute as an apprentice
6994,10.0,,Educational support
6995,4.0,certificate iv,Mental Health
6996,4.0,certificate iv,I have returned to try and compete cert 4 in Leisure and Health.
6997,8.0,bachelor,Landscape architecture design
6998,8.0,bachelor,Bachelor of Education
6999,8.0,bachelor,Bachelor of Nursing
7000,6.0,diploma,Diploma of Early Childhood Education and Care
7001,6.0,diploma,community services
7002,6.0,diploma,Early childhood education
7003,4.0,certificate iv,Alcohol & other drugs
7004,4.0,certificate iv,Vet nursing
7005,8.0,bachelor,Science Melbourne uni
7006,7.0,advanced diploma,Diploma
7007,6.0,diploma,CHC50113 Diploma of Early Childhood Education and Care
7008,3.0,certificate iii,Continuing on my Certificate III
7009,6.0,diploma,Diploma of Business
7010,6.0,diploma,I am studying a diploma of music industry sound production. I am also hoping to eventually do social work later in life
7011,4.0,certificate iv,Certificate IV in Education Support
7012,1.0,certificate i,level-2
7013,8.0,bachelor,Bachelor of Dermal Sciences
7014,6.0,diploma,Diploma of Leadership & Management
7015,3.0,certificate iii,PSA
7016,9.0,higher than a degree,Doctor of veterinary medicine
7017,7.0,advanced diploma,Advanced Diploma in HR
7018,4.0,certificate iv,Something else
7019,4.0,certificate iv,Disability
7020,4.0,certificate iv,Continuing cert II in vet nursing
7021,7.0,advanced diploma,Advanced diploma in conveyancing
7022,6.0,diploma,Diploma of Business
7023,8.0,bachelor,Health sciences
7024,4.0,certificate iv,Youth Work Cert IV
7025,8.0,bachelor,paramedicine degree
7026,8.0,bachelor,Bachelor of Biological Sciences
7027,6.0,diploma,Diploma in community services
7028,8.0,bachelor,Bachelor of accounting
7029,3.0,certificate iii,Electrotechnology Electrician cert III
7030,4.0,certificate iv,ACCOUNTING AND BOOKKEEPING
7031,4.0,certificate iv,Cert IV Race horse
7032,4.0,certificate iv,Finance and Mortgage Broking Not through Diversitat.
7033,8.0,bachelor,BH114 Bachelor of applied science (Construction Management) RMIT
7034,6.0,diploma,Visual Arts
7035,8.0,bachelor,Bachelor of Arts at University of Melbourne. I was studying this concurrently with this course.
7036,2.0,certificate ii,Rail handsignaller
7037,4.0,certificate iv,same course cert 4
7038,6.0,diploma,Same thing
7039,4.0,certificate iv,Cert IV in Laboratory Techniques
7040,8.0,bachelor,Bachelor of business
7041,3.0,certificate iii,certificate lll in EAL
7042,9.0,higher than a degree,I would like to get into bachelor of law
7043,6.0,diploma,Diploma off Alcohol and other drugs
7044,4.0,certificate iv,certificate 4 in bookkeeping & accounting
7045,4.0,certificate iv,Certificate IV of Dance
7046,3.0,certificate iii,Certificate iii in Individual Support
7047,6.0,diploma,Ohs
7048,4.0,certificate iv,Sanitary and Drainage
7049,7.0,advanced diploma,Advanced Diploma of Conveyancing
7050,5.0,vce or vcal,Dandenong High School Year 10
7051,8.0,bachelor,Doctor of Veterinary Medicine
7052,6.0,diploma,diploma in community service
7053,4.0,certificate iv,Community Service
7054,7.0,advanced diploma,Advanced Diploma childcare
7055,10.0,,Diploma of Photography and Photo Imaging
7056,5.0,vce or vcal,Certificate IV in Accounting and Bookkeping
7057,8.0,bachelor,Bachelor of Early Childhood Education
7058,7.0,advanced diploma,Advanced Diploma in Building Design
7059,8.0,bachelor,Nursing/midwifery
7060,3.0,certificate iii,electrotechnology
7061,6.0,diploma,Dip. Library and Info. Services
7062,3.0,certificate iii,Cert 3 Electrotechnology
7063,3.0,certificate iii,Cert III in Community Services
7064,9.0,higher than a degree,Bachelor Of Information Technology
7065,8.0,bachelor,Bachelor of Early Learning
7066,3.0,certificate iii,Foresight Training
7067,2.0,certificate ii,Cooking operations
7068,9.0,higher than a degree,doctor of veterinary medicine
7069,8.0,bachelor,Physio
7070,6.0,diploma,Diploma in early childhood education
7071,4.0,certificate iv,Alcohol and  other drugs
7072,4.0,certificate iv,"Serve It up, hospitality certificate 4"
7073,9.0,higher than a degree,bachelor of design
7074,3.0,certificate iii,Fitness
7075,4.0,certificate iv,TAE40116 Certificate 1V in Training and Assesment
7076,8.0,bachelor,Bachelor of Counselling
7077,8.0,bachelor,Bachelor of applied science construction management
7078,3.0,certificate iii,Certificate 3 in barbering
7079,8.0,bachelor,Bachelor of nursing
7080,4.0,certificate iv,Dental radiography
7081,3.0,certificate iii,Cert 3 beauty
7082,2.0,certificate ii,Cert II in Electrotechnology
7083,6.0,diploma,diploma of nursing
7084,3.0,certificate iii,Cert 3 in Plumbing
7085,6.0,diploma,Diploma of nursing
7086,3.0,certificate iii,Early childhood
7087,9.0,higher than a degree,Master of data science
7088,7.0,advanced diploma,Advanced diploma of building design
7089,4.0,certificate iv,Cert IV Bookkeeping and Accounting
7090,6.0,diploma,Mortgage broker
7091,6.0,diploma,Diploma in ecec
7092,3.0,certificate iii,Certificate 3 in Building and Construction (Specialising in Carpentry)
7093,1.0,certificate i,English
7094,8.0,bachelor,Bachelor of Computer Science (Data Science)
7095,8.0,bachelor,Bachelor of Arts
7096,8.0,bachelor,Bachelor of Design Architecture
7097,5.0,vce or vcal,Plastering
7098,8.0,bachelor,Components of the bachelor of science course unit scientific skills and communication
7099,5.0,vce or vcal,Vcal
7100,2.0,certificate ii,Community service
7101,6.0,diploma,Diploma in lesuire and health
7102,4.0,certificate iv,Certificate 4 engineering
7103,7.0,advanced diploma,Advanced Diploma of Music Industry
7104,3.0,certificate iii,Carpenter
7105,5.0,vce or vcal,Intermediate VCAL
7106,3.0,certificate iii,Certicate IV in leisure and health
7107,8.0,bachelor,Bachelor of Nursing
7108,8.0,bachelor,Master of Teaching (Early Childhood and Primary)/ Graduate Certificate in Religious Education at ACU
7109,3.0,certificate iii,Certificate 3 & 4 in Fitness
7110,4.0,certificate iv,Certificate 4 in contracts administration
7111,8.0,bachelor,Criminology degree and I have changed directions and now seek to join the police force
7112,8.0,bachelor,Bachelor of Business Administration
7113,6.0,diploma,Diploma of Community services
7114,4.0,certificate iv,Certificate IV in Training and Assessment
7115,6.0,diploma,Diploma of building construction
7116,6.0,diploma,Diploma early childhood education
7117,3.0,certificate iii,EAL cert 3
7118,4.0,certificate iv,Certificate 4 in disability
7119,6.0,diploma,Nursing
7120,4.0,certificate iv,Companion animal servies
7121,6.0,diploma,Diploma of early childhood education and care nfi
7122,3.0,certificate iii,Cert 3 Auslan
7123,6.0,diploma,Community services
7124,4.0,certificate iv,Cert 4 aged csre
7125,8.0,bachelor,Bachelor of Arts
7126,7.0,advanced diploma,Advance Diploma in Building Design (Architectural)
7127,9.0,higher than a degree,Bachelor in early childhood
7128,7.0,advanced diploma,Advance diploma of Interpreting
7129,8.0,bachelor,"International Development Studies, undergraduate"
7130,3.0,certificate iii,Certificate III in Mining Exploration
7131,6.0,diploma,Community services case management
7132,5.0,vce or vcal,Victoria Certificate of Education (Year12)
7133,4.0,certificate iv,Instrumentation and control
7134,4.0,certificate iv,Cert 4 disability
7135,3.0,certificate iii,Electro technology
7136,10.0,,Health and safety representative course
7137,8.0,bachelor,Bachelors in Nursing
7138,8.0,bachelor,Bachelor of Psychological Science and Counselling
7139,8.0,bachelor,Doctorate of Veterinary Medicine
7140,4.0,certificate iv,Certificate IV of mental health
7141,6.0,diploma,Diploma  of nursing
7142,8.0,bachelor,Bachelor of nursing
7143,4.0,certificate iv,Cert 4 build & construction
7144,4.0,certificate iv,Leisure and health
7145,10.0,,Computer course
7146,6.0,diploma,Diploma of Nursing
7147,6.0,diploma,Diploma of Business
7148,3.0,certificate iii,Continued the same course into 2019
7149,3.0,certificate iii,English III (Certificate 3)
7150,6.0,diploma,Diploma in Community Services
7151,3.0,certificate iii,Cert III carpentry
7152,4.0,certificate iv,Certificate 4 in disability
7153,7.0,advanced diploma,Advanced Diploma Cyber Security
7154,8.0,bachelor,I have stopped because of the length  and  time of the studies which is not suiting  my daily schedule.
7155,8.0,bachelor,I was already completing it. But I am finishing my bachelor in psychological sciences
7156,6.0,diploma,Project Management
7157,8.0,bachelor,Bachelor of commerce
7158,4.0,certificate iv,certificate iv in engineering fabrication trade
7159,6.0,diploma,Diploma of Nursing
7160,3.0,certificate iii,Truck driving course
7161,4.0,certificate iv,Disability certificate
7162,8.0,bachelor,Bachelor of Nursing/Bachelor of Midwifery
7163,10.0,,French Italian ukelele classes
7164,9.0,higher than a degree,MAsters of Business Administration (MBA)
7165,4.0,certificate iv,Certificate IV in Government
7166,8.0,bachelor,Bachelor of ministry.
7167,3.0,certificate iii,Carpentry
7168,8.0,bachelor,Bachelor of arts/master of teaching.
7169,8.0,bachelor,Bachelor of Applied Science (Surveying) (Honours)
7170,3.0,certificate iii,Certificate 3 in Retail baking (cake and pastry)
7171,6.0,diploma,Diploma of Bioscience
7172,4.0,certificate iv,Cert 4 in Eduction Support
7173,4.0,certificate iv,OHS
7174,2.0,certificate ii,CERTIFICATE II WORK EDUCATION
7175,8.0,bachelor,Bachelor of education
7176,7.0,advanced diploma,Advanced Diploma in Community Services
7177,3.0,certificate iii,Bricklaying
7178,3.0,certificate iii,Certificate 3 in business
7179,8.0,bachelor,Secondary Health and Physical Education
7180,9.0,higher than a degree,Master of physiotherapy practice
7181,4.0,certificate iv,electrician
7182,3.0,certificate iii,Tower crane operator
7183,4.0,certificate iv,Certificate IV Information Technology Networking
7184,7.0,advanced diploma,Advanced diploma of accounting
7185,8.0,bachelor,Bachelor of Laws
7186,6.0,diploma,Diploma of Youth Work
7187,6.0,diploma,Diploma of Nursing
7188,6.0,diploma,School aged education and care  Diploma
7189,3.0,certificate iii,Cert 3 conpanion animals
7190,8.0,bachelor,Bachelor's Degree of Veterinary and Wildlife Science
